"","Clustering","K","Avg. Sil.","Neg.Sil.","CH","Dunn*","VI","ARI","Chi","P-value"
"1","db.2.e","2","0.260750858304252","0.0769230769230769","19.1357125444963","1.47805654178728","0.243740868989167","-0.0325695696085563","0.0114207344379758","0.188224833627418"
"2","db.3a.e","3","0.258166709940209","0.142857142857143","18.0049564272543","1.23878332438598","0.336781395813775","-0.0531499101613391","0.0366795366795367","0.106176928323275"
"3","db.3b.e","3","0.258166709940209","0.142857142857143","18.0049564272543","1.23878332438598","0.334826956603925","0.0617409461425607","0.186856484529296","3.82442528084492e-07"
"4","db.5.e","5","0.32878012666004","0","12.1574196968115","1.37467277426401","0.653661788069715","-0.0115492023476218",NA,NA
"5","db.6.e","6","0.298130011338062","0.0416666666666667","11.8196247892831","1.18297705961743","0.714831718288282","-0.000873420626050178","0.363555555555556","0.0760658756263728"
"6","db.2.r","2","0.740006471468259","0","53.2742298244484","3.54113043758821","0.358521321099659","0.131947462973611","0.0833333333333333","0.428571428571429"
"7","db.3a.r","3","0.654439257835044","0","46.1457377285923","2.5071105109579","0.445547701304368","0.0623123038741069","0.466666666666667","0.0129870129870129"
"8","db.3b.r","3","0.654439257835044","0","46.1457377285923","2.5071105109579","0.470118922937128","0.0853556038217591","0.666666666666667","0.00259740259740259"
"9","db.5.r","5","0.29531867482121","0.0606060606060606","18.7618841627501","1.01509614280216","0.534779935077403","0.079862849047994",NA,NA
"10","db.6.r","6","0.345036223889233","0.0384615384615385","26.1649024442687","1.33294202571711","0.703467319533784","0.00379200390583992","0.228789682539683","0.098144193137316"
"11","db.2.p","2","0.37840358877827","0","11.0536642150231","1.69082197118612","0.143810913872966","0.118343522004026","0.0407836739556309","0.0149228793376476"
"12","db.3a.p","3","0.369954370982133","0.0260869565217391","69.060925364717","1.47675367446629","0.338345146673518","0.170905789435265","0.203283744557329","1.21406041369055e-11"
"13","db.3b.p","3","0.369954370982133","0.0260869565217391","69.060925364717","1.47675367446629","0.291038737576157","0.309204621772164","0.424095679356928","1.52981095118054e-21"
"14","db.5.p","5","0.542274021581885","0.0357142857142857","43.680188652165","1.40187848170128","0.580763667597454","0.0340256551096788","0.382844065656566","5.06734774905695e-05"
"15","db.6.p","6","0.407733037243299","0.03125","38.2737497572258","1.40187848170128","0.701830697013625","0.00599628230497091","0.171733766233766","0.424442946611577"
"16","db.2.c","2","0.414586160360722","0","10.7439325503003","1.66125235632214","0.375443995951369","0.0398632105731662","0.140625","0.19047619047619"
"17","db.3a.c","3","0.283631379361497","0.0666666666666667","8.36506590029858","1.2658050430563","0.444091065558156","0.133610736974988","0.165178571428571","0.450256410256412"
"18","db.3b.c","3","0.283631379361497","0.0666666666666667","8.36506590029858","1.2658050430563","0.498511427847491","0.0649155802710857","0.209821428571429","0.224988344988345"
"19","db.5.c",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","db.6.c",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","db.2.m","2","0.437402024245851","0.00847457627118644","125.841737518389","1.65809241830506","0.245538020665798","0.235346558427293","0.328045272200365","6.11852548369975e-12"
"22","db.3a.m","3","0.423315044929007","0.018018018018018","86.074028100233","1.53851188665379","0.351549657039236","0.130147932443751","0.190513768638769","1.47358337791635e-10"
"23","db.3b.m","3","0.423315044929007","0.018018018018018","86.074028100233","1.53851188665379","0.320003097133832","0.239794656675019","0.389918056204872","8.73631965151739e-19"
"24","db.5.m","5","0.454548102705757","0","77.1642395456328","1.30058651254975","0.617376972082571","0.000321690216121391","0.335357142857143","0.00340184619840883"
"25","db.6.m","6","0.515490302731474","0.05","59.9308676141008","1.4313367733177","0.712110870354439","0.00245488906647325","0.364722222222222","0.0132361667523098"
