"","Clustering","K","Avg. Sil.","Neg.Sil.","CH","Dunn*","VI","ARI","Chi","P-value"
"1","hc.2.e.1","2","0.395872867197005","0","19.6501275923393","1.62701562398351","0.232811233984235","0.514922988432287","0.331079306722689","0.00339782261979058"
"2","hc.3a.e.1","3","0.270736756736548","0.0869565217391304","15.9789706285536","1.25459520672501","0.382251326374151","0.318577901707912","0.287186147186147","0.00201117476322749"
"3","hc.3b.e.1","3","0.270736756736548","0.0869565217391304","15.9789706285536","1.25459520672501","0.429177306203855","0.277798300701884","0.295704295704296","0.00489234595439999"
"4","hc.5.e.1","5","0.212613918806628","0","10.9765121121598","1.13249789046486","0.584073737358774","0.0544824170381377","0.285493827160494","0.103188484897581"
"5","hc.2.e.2","2","0.306503982732206","0.130434782608696","11.7916077546475","1.44771145974585","0.0910394175767997","0.815792957373577","0.588480392156863","0.000178311391126036"
"6","hc.3a.e.2","3","0.202367698895307","0.217391304347826","11.0652341279704","1.29718894628216","0.312863135511522","0.38271174625305","0.409090909090909","0.000205480569594174"
"7","hc.3b.e.2","3","0.202367698895307","0.217391304347826","11.0652341279704","1.29718894628216","0.35228522639255","0.345770225341707","0.416583416583417","0.000423052516200981"
"8","hc.5.e.2","5","0.239866100300851","0.0869565217391304","8.97807123234816","1.26526890266106","0.405421271008946","0.243270189431705","0.419642857142857","0.000254771843753596"
"9","hc.2.e.3","2","0.321100241870007","0.0434782608695652","8.40749618236147","1.42360836737859","0.330369438029223","-0.0281070098205215","3.7009655633071e-32","1"
"10","hc.3a.e.3","3","0.257869081551052","0.0434782608695652","9.24256078870827","1.12598420620779","0.252375062782501","0.458823529411765","0.426785714285714","6.32247906443614e-05"
"11","hc.3b.e.3","3","0.257869081551052","0.0434782608695652","9.24256078870827","1.12598420620779","0.282198574040926","0.362019914651494","0.441620879120879","0.000151244188126673"
"12","hc.5.e.3","5","0.262706021508995","0","8.53655232395943","1.01032807142971","0.338067209804005","0.446160835983644","0.46155303030303","2.00461039258799e-05"
"13","hc.2.e.4","2","0.348414937196634","0","16.1096583459916","1.55512416178717","0.189285947936848","0.525328330206379","0.408983037659508","0.000832119825254836"
"14","hc.3a.e.4","3","0.26984505928751","0.0434782608695652","10.4935858736408","1.40141528265961","0.288204867699244","0.508614748449345","0.311904761904762","0.00061797134081424"
"15","hc.3b.e.4","3","0.270620149451136","0.0434782608695652","9.22737069372859","1.35649616455942","0.290233763496494","0.406876790830946","0.483974358974359","5.57660134992205e-05"
"16","hc.5.e.4","5","0.241325069075991","0.0869565217391304","10.0240482668976","1.36115532693177","0.489931653502095","0.132666969559291","0.325378787878788","0.0113714602994066"
"17","hc.2.e.5","2","0.288934024890936","0.0434782608695652","12.772278699278","1.36101248534098","0.232811233984235","0.514922988432287","0.331079306722689","0.00339782261979058"
"18","hc.3a.e.5","3","0.243222405808202","0.0434782608695652","11.203083224699","1.19456667725135","0.364733897822337","0.376216968011127","0.318650793650794","0.00133077986759503"
"19","hc.3b.e.5","3","0.243222405808202","0.0434782608695652","11.203083224699","1.19456667725135","0.442212068193756","0.228300510576222","0.291285103785104","0.0108339903467107"
"20","hc.5.e.5","5","0.251208355545054","0.0434782608695652","10.5445578266774","1.24836752542643","0.561527330386978","0.0528723945094052","0.290079365079365","0.0695468361347767"
"21","hc.2.e.6","2","0.454009301258396","0.0434782608695652","25.9760629968392","1.86946262053188","0.247900162814763","0.294478527607362","0.271854575163399","0.00457665903890161"
"22","hc.3a.e.6","3","0.417065799724076","0","22.1947035507977","1.28264246953925","0.429718787322101","0.231197771587744","0.213257575757576","0.0155375651404724"
"23","hc.3b.e.6","3","0.417065799724076","0","22.1947035507977","1.28264246953925","0.410424473007687","0.340925789860397","0.279283216783217","0.00224730624515249"
"24","hc.5.e.6","5","0.376879825674322","0","18.0714353983399","1.64504496699332","0.536076562564056","0.11185086551265","0.250347222222222","0.0388290254514749"
"25","hc.2.r.1","2","0.28398828929261","0","10.9372818614391","1.25158224565081","0.247900162814763","0.294478527607362","0.271854575163399","0.00457665903890161"
"26","hc.3a.r.1","3","0.264693673250557","0.0434782608695652","7.83071771705069","1.33849510248384","0.372566325027688","0.212927756653992","0.203030303030303","0.0138645847354958"
"27","hc.3b.r.1","3","0.264693673250557","0.0434782608695652","7.83071771705069","1.33849510248384","0.404981087341165","0.210824195259993","0.216783216783217","0.0106916908639885"
"28","hc.5.r.1","5","0.244800333281677","0.173913043478261","8.60784069934903","1.03315252687568","0.568629035504755","0.0809674027339642","0.300347222222222","0.053886753244797"
"29","hc.2.r.2","2","0.374351509688598","0","20.0656744253405","1.43024266246177","0.247900162814763","0.294478527607362","0.271854575163399","0.00457665903890161"
"30","hc.3a.r.2","3","0.345921911817473","0","15.0093525396687","1.39214814232025","0.345322818562119","0.282246879334258","0.318939393939394","0.00222408497411859"
"31","hc.3b.r.2","3","0.345921911817473","0","15.0093525396687","1.39214814232025","0.426358846067308","0.156721782890007","0.222727272727273","0.0211718554698764"
"32","hc.5.r.2","5","0.30695830452331","0.0434782608695652","13.1999120276134","1.02193525849835","0.501134186942178","0.163636363636364","0.345601851851852","0.00649431699982957"
"33","hc.2.r.3","2","0.453292890369941","0","18.604684446949","1.74905344001722","0.0910394175767997","0.815792957373577","0.588480392156863","0.000178311391126036"
"34","hc.3a.r.3","3","0.401775325472199","0","13.2695135346182","1.73055496311782","0.161316160756756","0.709457152611813","0.627450980392157","2.97185651876722e-05"
"35","hc.3b.r.3","3","0.401775325472199","0","13.2695135346182","1.73055496311782","0.263870734345724","0.380445626870635","0.403469079939668","0.000584465115357554"
"36","hc.5.r.3","5","0.290488303153","0.0434782608695652","13.0157997767292","1.33021884294446","0.486998779632382","0.144857556735876","0.342901234567901","0.00680777006023959"
"37","hc.2.r.4","2","0.368536751177812","0","18.2945732017235","1.36379055637148","0.247900162814763","0.294478527607362","0.271854575163399","0.00457665903890161"
"38","hc.3a.r.4","3","0.234960141290655","0.130434782608696","12.572912862783","0.980830596786515","0.351699135832436","0.430812129661903","0.331428571428571","0.00044293773261332"
"39","hc.3b.r.4","3","0.317436414517575","0.0869565217391304","11.600813602746","1.34137558219437","0.404981087341165","0.210824195259993","0.216783216783217","0.0106916908639885"
"40","hc.5.r.4","5","0.237426955923602","0.0869565217391304","10.6598328116467","0.988946095877181","0.536230466204393","0.1112828438949","0.270899470899471","0.0213765040378187"
"41","hc.2.r.5","2","0.314187355932892","0","12.9080098149015","1.33321785010997","0.189285947936848","0.525328330206379","0.408983037659508","0.000832119825254836"
"42","hc.3a.r.5","3","0.30852290871687","0","9.6039672853673","1.42101652476389","0.20681271140608","0.626855367621678","0.559259259259259","3.67111687612422e-05"
"43","hc.3b.r.5","3","0.30852290871687","0","9.6039672853673","1.42101652476389","0.333159518661297","0.24868282402529","0.303747534516765","0.0015780558114654"
"44","hc.5.r.5","5","0.244235731701169","0","8.93970342975047","1.08582002428271","0.540540084810091","0.099644128113879","0.29375","0.0276253125424405"
"45","hc.2.r.6","2","0.370732774895958","0.173913043478261","15.0583958231315","1.18331007617161","0.247900162814763","0.294478527607362","0.271854575163399","0.00457665903890161"
"46","hc.3a.r.6","3","0.393931397239015","0.130434782608696","15.3758249169746","1.07964437193094","0.422214898373424","0.0857740585774059","0.22449494949495","0.0215019646302453"
"47","hc.3b.r.6","3","0.393931397239015","0.130434782608696","15.3758249169746","1.07964437193094","0.433862735015985","0.131754256106588","0.266317016317016","0.01206249090025"
"48","hc.5.r.6","5","0.376437657424699","0","13.3904813968451","1.24733854708963","0.55110437764435","0.0601706331387517","0.224642255892256","0.0709114318944507"
"49","hc.2.p.1","2","0.4551666274494","0.0434782608695652","25.3179093098324","1.67264384118107","0.189285947936848","0.525328330206379","0.408983037659508","0.000832119825254836"
"50","hc.3a.p.1","3","0.439196923839329","0.0434782608695652","20.4301761211581","1.68148930661762","0.331933144691074","0.362439362439362","0.299537037037037","0.00110133506283727"
"51","hc.3b.p.1","3","0.439196923839329","0.0434782608695652","20.4301761211581","1.68148930661762","0.288704007987235","0.522206303724928","0.512553418803419","3.26904217064397e-05"
"52","hc.5.p.1","5","0.351088930871397","0","16.9705268463414","1.32248032394857","0.429913767529732","0.260714285714286","0.407465277777778","0.000649160553222024"
"53","hc.2.p.2","2","0.451013855381419","0.0434782608695652","25.5328994342832","1.78246741157153","0.221936088863604","0.402411735454997","0.333503016591252","0.00208029956313709"
"54","hc.3a.p.2","3","0.387523372260666","0","19.6804368254306","1.23759540725434","0.397266918038806","0.166550522648084","0.253148148148148","0.0101043121638086"
"55","hc.3b.p.2","3","0.387523372260666","0","19.6804368254306","1.23759540725434","0.329351338532678","0.389380530973451","0.484134615384615","0.000108210540300996"
"56","hc.5.p.2","5","0.273319849536989","0.0434782608695652","13.3337600424761","1.40749156107117","0.481575399424086","0.158035714285714","0.308641975308642","0.00743418746722741"
"57","hc.2.p.3","2","0.430567339881416","0","17.7824368781404","1.56112620628858","0.0910394175767997","0.815792957373577","0.588480392156863","0.000178311391126036"
"58","hc.3a.p.3","3","0.35052029699911","0.0434782608695652","10.9443149257816","1.08869214348524","0.223084863110537","0.546258503401361","0.393518518518518","0.000416059912627414"
"59","hc.3b.p.3","3","0.222564117404399","0","13.4398698806675","0.91652160219907","0.297020772158074","0.333580980683507","0.501121794871795","5.06963759083821e-05"
"60","hc.5.p.3","5","0.203932004126856","0.0869565217391304","9.95656062872442","0.869302261301224","0.354383729511586","0.340425531914894","0.441071428571429","3.15290627213188e-05"
"61","hc.2.p.4","2","0.425356237683783","0","21.5065694513067","1.5004252289868","0.221936088863604","0.402411735454997","0.333503016591252","0.00208029956313709"
"62","hc.3a.p.4","3","0.40328325351432","0","17.3606627212943","1.33387061370096","0.386467602355751","0.200278164116829","0.25","0.0109617801770176"
"63","hc.3b.p.4","3","0.40328325351432","0","17.3606627212943","1.33387061370096","0.253083349118367","0.49671772428884","0.606730769230769","8.74075446696242e-06"
"64","hc.5.p.4","5","0.335654334428669","0","12.2545803866501","1.39906814766549","0.425201965093133","0.220506220506221","0.354861111111111","0.00118504581848478"
"65","hc.2.p.5","2","0.357971712476056","0.0434782608695652","15.4782667578436","1.45719644879518","0.189285947936848","0.525328330206379","0.408983037659508","0.000832119825254836"
"66","hc.3a.p.5","3","0.306409147882604","0","11.0393699137757","1.27139673334833","0.274921469754297","0.521829521829522","0.417592592592593","6.11852812687371e-05"
"67","hc.3b.p.5","3","0.303644063895286","0","11.5949290945251","1.39822386576273","0.290233763496494","0.406876790830946","0.483974358974359","5.57660134992205e-05"
"68","hc.5.p.5","5","0.318147223840578","0","10.4418216095602","1.06701053468596","0.380124406826361","0.224719101123595","0.430555555555556","0.000246510791671645"
"69","hc.2.p.6","2","0.571279028205829","0","40.8986054369393","2.0869063497791","0.247900162814763","0.294478527607362","0.271854575163399","0.00457665903890161"
"70","hc.3a.p.6","3","0.564489223624732","0","32.4124252260425","2.40609135451296","0.279633272190896","0.371932250259246","0.460606060606061","0.000336519046978053"
"71","hc.3b.p.6","3","0.564489223624732","0","32.4124252260425","2.40609135451296","0.404981087341165","0.210824195259993","0.216783216783217","0.0106916908639885"
"72","hc.5.p.6","5","0.331553112454492","0","27.0417421088502","1.30625404889306","0.4983421004301","0.122298850574713","0.28125","0.0124837306485916"
"73","hc.2.c.1","2","0.385680318843062","0","18.9690449131787","1.40479219909267","0.284121615186569","0.119343610144207","0.177394419306184","0.0190793188504859"
"74","hc.3a.c.1","3","0.347152033327811","0","13.6936844242919","1.33208624065524","0.431333631637295","0.0131487889273357","0.144391025641026","0.107968130043778"
"75","hc.3b.c.1","3","0.347152033327811","0","13.6936844242919","1.33208624065524","0.463076858820241","0.0839260312944523","0.176127958579882","0.0616708010435287"
"76","hc.5.c.1","5","0.257909838047749","0.0434782608695652","10.0650896633979","1.02862750688756","0.599793093027825","0.0121475054229935","0.208101851851852","0.242037427219047"
"77","hc.2.c.2","2","0.381132589760534","0","17.5767060150067","1.45915131480921","0.268385513770408","0.20040899795501","0.220606803327392","0.0137299771167048"
"78","hc.3a.c.2","3","0.36891663301257","0","13.063967263992","1.41398119392884","0.372566325027688","0.212927756653992","0.203030303030303","0.0138645847354958"
"79","hc.3b.c.2","3","0.36891663301257","0","13.063967263992","1.41398119392884","0.404981087341165","0.210824195259993","0.216783216783217","0.0106916908639885"
"80","hc.5.c.2","5","0.27236050174778","0","11.5662290922129","1.01928685498841","0.509040259721755","0.155460181211254","0.320684523809524","0.0116406825226071"
"81","hc.2.c.3","2","0.508323248869218","0","25.3966779229894","1.56678938558341","-7.08164613402842e-17","1","0.787221261053441","9.90618839589093e-06"
"82","hc.3a.c.3","3","0.487900382108425","0","18.7465504530944","1.34672653143685","0.138341196329591","0.701298701298701","0.5","1.98123767917816e-05"
"83","hc.3b.c.3","3","0.487900382108425","0","18.7465504530944","1.34672653143685","0.181570333033431","0.538770053475936","0.5","1.98123767917816e-05"
"84","hc.5.c.3","5","0.275252809916866","0","14.7847154558265","0.910665386400767","0.40724331894741","0.322125363221254","0.369969729344729","0.000593337397367929"
"85","hc.2.c.4","2","0.303861466006199","0","13.1113856516098","1.33934315064138","0.268385513770408","0.20040899795501","0.220606803327392","0.0137299771167048"
"86","hc.3a.c.4","3","0.304529417213118","0","10.5824946664846","1.48832340828869","0.335382616124854","0.221147201105736","0.244444444444444","0.00435027349820719"
"87","hc.3b.c.4","3","0.304529417213118","0","10.5824946664846","1.48832340828869","0.430929861146272","0.122881355932203","0.177564102564103","0.0299405803511331"
"88","hc.5.c.4","5","0.245440348391842","0","10.3501085983604","1.17232469997767","0.651568585921351","0.0401854714064915","0.209093915343915","0.270507869252345"
"89","hc.2.c.5","2","0.265775802972753","0","8.01898725728458","1.37925671823141","0.227455747367346","0.497617156473392","0.277805010893246","0.00775654551398258"
