"","Shape","Layer","Animal","ID","Image","Area","ConvexArea","MajorAxisLength","MinorAxisLength","Perimeter","ConvexPerimeter","EquivDiameter","Eccentricity","Solidity","Extent","InvAR","ConvexCircularity","Ngb_50","Ngb_100","N"
"400","Round","3","Physeter macrocephalus","SW1","18",99.22,99.4,12.72,9.66,4.64,37.77,11.2396987338906,0.520714285714286,0.997142857142857,0.681428571428571,0.843102263238613,0.92691174291109,4,12,28
"401","Round","4","Physeter macrocephalus","SW1","18",69.155,71.845,10.3,8.84,3.505,31.39,9.3822395449579,0.468793103448276,0.986724137931035,0.742068965517241,0.866043106807919,0.916224027445329,11,31,58
"402","Round","5","Physeter macrocephalus","SW1","18",63.98,63.98,10.02,8.29,1.28,28.97,9.02562275259473,0.488852459016393,0.987868852459016,0.74672131147541,0.856103368404297,0.914246414626218,11,31,61
"403","Round","6","Physeter macrocephalus","SW1","18",51.775,51.775,8.76,7.605,11.09,27.135,8.11920639514687,0.490833333333333,0.976111111111111,0.642916666666667,0.857803208433259,0.896202724644108,9,22,72
"404","Pyramidal","1","Physeter macrocephalus","SW1","18",61.565,61.62,12.05,6.61,45.14,31.27,8.8536081442044,0.82321052631579,0.986263157894737,0.70121052631579,0.552952184620221,0.78235885864542,12,34,190
"405","Pyramidal","2","Physeter macrocephalus","SW1","18",58.74,58.74,11.62,6.62,21.375,30.75,8.64812330324182,0.828790322580645,0.993629032258065,0.697096774193548,0.548324491819935,0.791674467823423,11,34,124
"406","Pyramidal","3","Physeter macrocephalus","SW1","18",94.7,94.7,14.935,7.57,292.73,38.32,10.980700564464,0.813461538461538,0.999230769230769,0.868461538461539,0.575543395540958,0.780488540282406,6.5,10,26
"407","Pyramidal","4","Physeter macrocephalus","SW1","18",65.49,68.83,12.75,7,79.52,32.84,9.13150906393384,0.829937106918239,0.983459119496855,0.702389937106918,0.543496491610054,0.78895810054323,11,31,159
"408","Pyramidal","5","Physeter macrocephalus","SW1","18",93.25,94.885,15.57,8.15,30.57,39.575,10.8962946914084,0.846565656565657,0.988686868686869,0.74540404040404,0.515549167051587,0.777252337526963,11,32,198
"409","Pyramidal","6","Physeter macrocephalus","SW1","18",59.78,61.74,11.62,6.76,69.07,31.29,8.7243486853901,0.807414634146342,0.984878048780488,0.68809756097561,0.578211316777464,0.785234047463216,8,23,205
"410","Complex","1","Physeter macrocephalus","SW1","18",56,56,9.39,8.59,437.67,29.32,8.4440164912895,0.500740740740741,0.989259259259259,0.713703703703704,0.851302730947714,0.814457109275429,11,32,27
"411","Complex","2","Physeter macrocephalus","SW1","18",57.24,57.24,9.89,8.12,47.57,29.36,8.5369919491962,0.5168,0.956,0.6992,0.84051115502392,0.809232140103864,13,32,25
"412","Complex","3","Physeter macrocephalus","SW1","18",123.81,123.99,14.42,11.71,363.11,44.94,12.5554684513825,0.562857142857143,1,0.702857142857143,0.822637189064987,0.801240035255461,4,9,7
"413","Complex","4","Physeter macrocephalus","SW1","18",53.21,53.21,9.29,7.95,134.03,28.13,8.23098269803539,0.525238095238095,0.980476190476191,0.853333333333333,0.839510523594446,0.80751476752673,12,31,21
"414","Complex","5","Physeter macrocephalus","SW1","18",60.61,60.61,9.7,8.36,38.3,31.46,8.78470539098485,0.472941176470588,0.994117647058824,0.682352941176471,0.8535202016705,0.814352275333882,11,32,17
"415","Complex","6","Physeter macrocephalus","SW1","18",52.835,52.835,9.005,8,142.8,28.55,8.20176972010136,0.496136363636364,0.990227272727273,0.626363636363636,0.853557910449247,0.806384603938,8,23,44
"416","Microglia","1","Physeter macrocephalus","SW1","18",18.635,18.755,6.05,4.5,4.725,16.995,4.87100243856161,0.612647058823529,0.989705882352941,0.74078431372549,0.753043738410029,0.873320855685073,10,33.5,102
"417","Microglia","2","Physeter macrocephalus","SW1","18",19.91,20.18,6.16,4.56,2.585,17.155,5.03489814551169,0.623070175438596,0.983245614035088,0.70140350877193,0.753530626813947,0.870382009563432,11,33,114
"418","Microglia","3","Physeter macrocephalus","SW1","18",16.54,17.16,6.4,3.71,10.91,15.7,4.58905023615122,0.784666666666667,0.984222222222222,0.741111111111111,0.602213541841532,0.886997447088887,4,11,45
"419","Microglia","4","Physeter macrocephalus","SW1","18",19.64,19.64,6.125,4.305,3.59,16.85,5.00064242458892,0.649342105263158,0.989342105263158,0.680131578947368,0.716271934096306,0.864018602653846,11,30,76
"420","Microglia","5","Physeter macrocephalus","SW1","18",18.59,18.59,6.17,4.57,2.62,16.47,4.86513341406242,0.636,0.987692307692308,0.608923076923077,0.716478644602229,0.875011874086975,11,31,65
"421","Microglia","6","Physeter macrocephalus","SW1","18",20.015,20.195,6.145,4.66,0.805,17.19,5.04815384899382,0.594078947368421,0.985328947368421,0.685657894736842,0.768761296772386,0.881729968990622,9,23,152
"422","Ellipsoid","1","Balaenoptera physalus","208","19",65.965,66.97,11.84,7.29,3.125,30.81,9.16454333944612,0.768188405797101,0.986014492753623,0.640724637681159,0.630068782968241,0.887516824539935,13,40,138
"423","Ellipsoid","2","Balaenoptera physalus","208","19",72.68,72.73,12.4,7.68,1.76,32.26,9.61972193524073,0.77794701986755,0.984039735099338,0.622781456953642,0.620478987161877,0.895542820130591,11,33,151
"424","Ellipsoid","3","Balaenoptera physalus","208","19",45.01,45.01,9.47,6.06,5.16,24.58,7.570238563515,0.769245283018868,1,0.739245283018868,0.629985733987566,0.906545950606859,3,6,53
"425","Ellipsoid","4","Balaenoptera physalus","208","19",83.995,85.46,13.085,8.27,1.98,34.81,10.3414552335271,0.769041095890411,0.985684931506849,0.646164383561644,0.630490981348376,0.896968008233008,9,26,146
"426","Ellipsoid","5","Balaenoptera physalus","208","19",83.39,83.47,13.03,7.53,2.09,34.72,10.3041470115418,0.77945652173913,0.994347826086956,0.71195652173913,0.616708756217724,0.900137313973877,9,18,184
"427","Ellipsoid","6","Balaenoptera physalus","208","19",72.03,72.03,12.05,7.3,5.44,32.08,9.57660923329723,0.766827586206897,0.98551724137931,0.59,0.636267358409667,0.889159472500837,11,32,145
"428","Round","1","Balaenoptera physalus","208","19",46.92,49.57,8.58,7.605,10.25,25.99,7.72919068107488,0.510909090909091,0.980227272727273,0.605113636363636,0.847105248086095,0.903520537876262,13,41,88
"429","Round","2","Balaenoptera physalus","208","19",51.55,51.6,8.72,7.465,11.3,26.475,8.10117730095659,0.494811320754717,0.985283018867925,0.652264150943396,0.857093420386662,0.914874431638699,11,32.5,106
"430","Round","3","Balaenoptera physalus","208","19",86.39,86.45,11.61,10.255,5.58,34.63,10.4878579447698,0.433333333333333,1,0.730416666666667,0.87831993197094,0.907822305228269,3,7,24
"431","Round","4","Balaenoptera physalus","208","19",62.31,63.18,9.505,8.51,6.805,28.96,8.90705091668662,0.465492957746479,0.976830985915493,0.680633802816901,0.868325824083982,0.916454324840139,9,28,142
"432","Round","5","Balaenoptera physalus","208","19",73.51,73.8,10.84,9.35,17.46,32.075,9.67446683213953,0.495535714285714,0.992053571428571,0.745714285714286,0.850681288008511,0.916768784817689,10,18.5,112
"433","Round","6","Balaenoptera physalus","208","19",49.775,50.945,8.87,7.57,20.36,26.435,7.96078233844401,0.491451612903226,0.97491935483871,0.629758064516129,0.85523549981021,0.902981969554075,11,31,124
"434","Pyramidal","1","Balaenoptera physalus","208","19",74.94,75.94,13.03,7.43,55.8,34.86,9.76814063588629,0.804981132075472,0.988377358490566,0.626528301886792,0.579932859302777,0.793718381018385,12,39,265
"435","Pyramidal","2","Balaenoptera physalus","208","19",75.97,76.23,12.73,7.68,34.66,34.73,9.83503981758744,0.810489795918367,0.977877551020408,0.644244897959184,0.571703355614878,0.793661195723617,11,32,245
"436","Pyramidal","3","Balaenoptera physalus","208","19",67.285,67.285,11.09,7.565,193.82,31.81,9.25543983699829,0.753421052631579,1,0.959736842105263,0.646344711139288,0.810204165490235,5,9,38
"437","Pyramidal","4","Balaenoptera physalus","208","19",71.56,72.53,12.83,7.73,74.78,34.31,9.54531412899797,0.801751412429379,0.981129943502825,0.665875706214689,0.586221371791486,0.799303439209021,10,28,177
"438","Pyramidal","5","Balaenoptera physalus","208","19",89.53,91.015,15.015,8.21,127.12,37.63,10.676555357997,0.809569892473118,0.986021505376344,0.711720430107527,0.576836766850091,0.798445328768862,8,19,186
"439","Pyramidal","6","Balaenoptera physalus","208","19",71.145,72.625,12.71,7.46,57.915,34.005,9.51745082853756,0.803586206896552,0.98551724137931,0.611931034482759,0.583643367618874,0.799948960606507,11,32,290
"440","Complex","1","Balaenoptera physalus","208","19",45.76,45.76,8.67,7.09,96.8,26.75,7.63304929678048,0.565882352941177,0.995098039215686,0.686862745098039,0.819634645913267,0.816138434640872,11,38,51
"441","Complex","2","Balaenoptera physalus","208","19",56.66,58.165,9.575,8.115,143.715,29.83,8.49354409895018,0.506129032258064,0.970483870967742,0.661451612903226,0.845981586467511,0.812561285244535,11,33,62
"442","Complex","3","Balaenoptera physalus","208","19",167.5,169.02,15.55,13.25,288.37,50.02,14.6036852795156,0.485714285714286,0.994285714285714,0.09,0.872485659477736,0.847750438597628,4,7,14
"443","Complex","4","Balaenoptera physalus","208","19",53.28,53.28,9.17,8.01,202.585,28.235,8.23500117557183,0.49875,0.988958333333333,0.647083333333333,0.851789523106104,0.805994609080657,9,23,48
"444","Complex","5","Balaenoptera physalus","208","19",87.64,95.88,12.52,10.25,192.63,37.86,10.563461255696,0.576666666666667,0.961538461538462,0.821025641025641,0.809895723060401,0.817996035929141,8,17,39
"445","Complex","6","Balaenoptera physalus","208","19",45.87,45.87,8.62,7.045,119.265,26.31,7.64106989684751,0.542794117647059,0.994852941176471,0.616617647058823,0.830602159282652,0.815007999734035,10.5,32,68
"446","Microglia","1","Balaenoptera physalus","208","19",22.01,22.33,6.02,5.05,6.77,17.86,5.2937701479778,0.496571428571429,0.9764,0.632342857142857,0.845131963612385,0.873218377973156,13,40,175
"447","Microglia","2","Balaenoptera physalus","208","19",20.155,20.385,6.005,4.78,6.675,17.375,5.06578123004633,0.543175675675676,0.979459459459459,0.627432432432432,0.809465058491017,0.862950872384916,11,31,148
"448","Microglia","3","Balaenoptera physalus","208","19",14.25,14.25,5.56,3.45,13.76,13.51,4.25953794588991,0.831739130434783,1,0.997391304347826,0.552275020787794,0.950105686165798,4,6,23
"449","Microglia","4","Balaenoptera physalus","208","19",21.2,21.385,5.97,4.78,2.445,17.69,5.19544553671544,0.55468253968254,0.985476190476191,0.657063492063492,0.803321257619659,0.86676756152636,9.5,27,126
"450","Microglia","5","Balaenoptera physalus","208","19",20.25,21.36,6.17,4.82,2.39,17.58,5.07770625192981,0.584123711340206,0.981237113402062,0.712164948453608,0.777296756033631,0.891820061051299,9,19,97
"451","Microglia","6","Balaenoptera physalus","208","19",21.33,21.51,5.93,4.99,5.22,17.715,5.21135294229829,0.495178571428571,0.971428571428571,0.630178571428571,0.851823144416585,0.871012061030209,10,31,168
"452","Ellipsoid","1","Pan troglodytes","70113","20",51.47,51.55,10.43,6.51,0.74,26.94,8.0952850084181,0.781621621621622,0.981891891891892,0.696306306306306,0.615388720852659,0.901184168417937,13,49,111
"453","Ellipsoid","2","Pan troglodytes","70113","20",53.805,54.09,10.105,6.615,2.205,27.91,8.27685961485749,0.75875,0.985902777777778,0.684236111111111,0.644644003008849,0.896655799421646,14,45,144
"454","Ellipsoid","3","Pan troglodytes","70113","20",57.59,57.85,10.83,6.95,6,28.95,8.56305234021713,0.753605442176871,0.983333333333333,0.691632653061224,0.651363443386487,0.897327870171545,16,60,147
"455","Ellipsoid","4","Pan troglodytes","70113","20",54.57,55.91,10.5,6.7,4.88,28.01,8.33550730047055,0.757225806451613,0.983677419354839,0.628645161290323,0.646002343837318,0.894379394027241,14,50,155
"456","Ellipsoid","5","Pan troglodytes","70113","20",54.16,54.16,10.35,6.685,4.355,27.385,8.30413417156258,0.761989247311828,0.986827956989247,0.668387096774194,0.640954365885757,0.893849669870915,14,43,186
"457","Ellipsoid","6","Pan troglodytes","70113","20",48.425,48.425,9.975,6.16,6.695,26.05,7.85181508946399,0.762734375,0.9846875,0.624375,0.638954605620838,0.886493379628358,9,24,128
"458","Round","1","Pan troglodytes","70113","20",51.15,53.52,8.915,7.66,16.03,27.015,8.0698400644212,0.48953488372093,0.989418604651163,0.741744186046512,0.856751640608538,0.91483874869952,14,49,86
"459","Round","2","Pan troglodytes","70113","20",51.62,52.4,8.82,7.74,13.69,27.02,8.1070725480428,0.467614678899083,0.989724770642202,0.724678899082569,0.867187373307962,0.916671648419084,14,44,109
"460","Round","3","Pan troglodytes","70113","20",54.27,54.7,9.11,7.7,10.96,27.33,8.31256338879754,0.489055118110236,0.986456692913386,0.657244094488189,0.85813590969138,0.918371765344264,18,60,127
"461","Round","4","Pan troglodytes","70113","20",50.93,50.945,8.74,7.5,7.275,26.565,8.05269578398078,0.5103125,0.98546875,0.683046875,0.848134508311355,0.916559849105011,15,48,128
"462","Round","5","Pan troglodytes","70113","20",44.36,44.45,8.13,7.07,17.78,24.52,7.51537798147584,0.512824427480916,0.991068702290076,0.675496183206107,0.843719684352982,0.904145734134532,14,43,131
"463","Round","6","Pan troglodytes","70113","20",43.59,44.28,8.3,7.16,13.23,24.8,7.44986655954358,0.48832,0.98408,0.63296,0.856337276890311,0.905335698647408,9,22,125
"464","Pyramidal","1","Pan troglodytes","70113","20",69.21,70.09,12.76,6.99,46.77,32.91,9.38727377309944,0.823981042654028,0.984028436018957,0.644976303317536,0.552978419486457,0.790656733576728,14,49,211
"465","Pyramidal","2","Pan troglodytes","70113","20",60.42,60.775,11.5,6.685,77.295,30.51,8.77092181851918,0.807115384615385,0.985721153846154,0.673509615384615,0.57831793552184,0.799461748329742,14,44,208
"466","Pyramidal","3","Pan troglodytes","70113","20",55.535,55.54,10.44,6.74,100.515,29.68,8.40888463343828,0.775746268656716,0.98634328358209,0.682985074626866,0.621842663448748,0.806089580394887,18,60,134
"467","Pyramidal","4","Pan troglodytes","70113","20",63.815,65.125,12.06,7.145,70.125,32.12,9.01397036328314,0.799260869565217,0.987608695652174,0.697565217391304,0.590629425160755,0.806549275075122,15,49,230
"468","Pyramidal","5","Pan troglodytes","70113","20",61.25,61.805,11.315,6.975,66.95,31.345,8.83095320487138,0.795040983606557,0.987459016393443,0.662049180327869,0.596268459218657,0.803725803020772,14,43,244
"469","Pyramidal","6","Pan troglodytes","70113","20",50.76,51.195,10.48,6.25,49.375,28.625,8.03925142118442,0.791863636363636,0.989590909090909,0.625363636363636,0.600074250294662,0.794843613920973,9,23,220
"470","Complex","1","Pan troglodytes","70113","20",52.59,53.01,9.08,7.84,106.24,28.7,8.18288871106177,0.507575757575758,0.978787878787879,0.704242424242424,0.848603923659957,0.806967184330579,13,51,33
"471","Complex","2","Pan troglodytes","70113","20",52.31,52.9,8.94,7.695,116.905,28.325,8.16069559712927,0.539464285714286,0.997142857142857,0.6625,0.832862437742831,0.808654536733683,14,43,56
"472","Complex","3","Pan troglodytes","70113","20",52.16,52.16,9.265,7.725,310.65,28.175,8.14935438728934,0.51275,0.98825,0.73975,0.849206332425472,0.818774614223333,17,60,40
"473","Complex","4","Pan troglodytes","70113","20",50.175,51.785,9.22,7.575,453.255,28.555,7.99271057887023,0.571666666666667,0.987142857142857,0.646666666666667,0.815186060347184,0.809632990741143,15,52,42
"474","Complex","5","Pan troglodytes","70113","20",46.255,46.405,8.58,7.205,128.23,26.42,7.67422024915364,0.566346153846154,0.991153846153846,0.653846153846154,0.815964121729802,0.82167165452532,13.5,43,52
"475","Complex","6","Pan troglodytes","70113","20",43.735,44.075,8.57,7.015,89.32,25.95,7.46224502001857,0.530454545454546,0.97530303030303,0.587575757575758,0.833689262734446,0.818591861269169,10,22,66
"476","Microglia","1","Pan troglodytes","70113","20",20.485,20.485,6.13,4.645,1.24,17.19,5.10707350705316,0.613076923076923,0.990230769230769,0.737307692307692,0.765635944815755,0.872155850184032,15,46,130
"477","Microglia","2","Pan troglodytes","70113","20",20.66,20.93,6.15,4.64,3.61,17.35,5.12885260016589,0.589454545454545,0.987212121212121,0.644424242424242,0.777397829661465,0.87398226210214,14,45,165
"478","Microglia","3","Pan troglodytes","70113","20",20.77,21.13,5.99,4.75,2.2,17.13,5.14247870786222,0.54685,0.9863,0.64815,0.810019361859261,0.891389020575883,17.5,60,200
"479","Microglia","4","Pan troglodytes","70113","20",20.65,21.155,6.025,4.87,2.365,17.355,5.12760984530841,0.5394,0.9804,0.666,0.812877757550283,0.889909759251127,14,50,150
"480","Microglia","5","Pan troglodytes","70113","20",21.39,21.52,6.09,4.94,2.69,17.61,5.21867740542421,0.524484848484848,0.989636363636364,0.669757575757576,0.820781432778892,0.888527642886571,14,43,165
"481","Microglia","6","Pan troglodytes","70113","20",21.97,22.12,6.01,5.07,7.89,18.05,5.28895762866668,0.509665271966527,0.990669456066946,0.627364016736402,0.832808177505748,0.864965056644073,8,23,239
"482","Ellipsoid","1","Pan troglodytes","68010","21",48.74,48.77,9.75,6.32,0.8,25.69,7.87767068430712,0.778210526315789,0.993157894736842,0.778842105263158,0.620284656395452,0.902907235591287,17,62,95
"483","Ellipsoid","2","Pan troglodytes","68010","21",47.49,47.49,9.44,6.46,4.46,25.52,7.77599806966751,0.748190476190476,0.997619047619048,0.752,0.657449237475508,0.904713338680217,16,53,105
"484","Ellipsoid","3","Pan troglodytes","68010","21",41.175,41.49,9.05,5.925,2.78,23.855,7.24052562493552,0.7625,0.985,0.672403846153846,0.639818128621147,0.899566507561775,20,77,104
"485","Ellipsoid","4","Pan troglodytes","68010","21",48.15,49.465,9.72,6.43,1.955,26.26,7.82967280139142,0.751698113207547,0.98188679245283,0.711132075471698,0.652944423874234,0.903228362920234,17,67.5,106
"486","Ellipsoid","5","Pan troglodytes","68010","21",50.64,50.64,9.91,6.31,2.12,26.6,8.02974785067306,0.763430656934307,0.996934306569343,0.658102189781022,0.639019714758384,0.902723035742593,17,68,137
"487","Ellipsoid","6","Pan troglodytes","68010","21",55.6,55.72,10.68,6.64,1.36,28.21,8.41380524419689,0.770509554140127,0.988980891719745,0.661082802547771,0.629712324272898,0.898520531773373,10,27,157
"488","Round","1","Pan troglodytes","68010","21",53.37,53.515,9.09,7.635,3.44,27.07,8.24334557036041,0.507222222222222,0.990416666666667,0.724861111111111,0.849011122176844,0.909728375031489,18,62.5,72
"489","Round","2","Pan troglodytes","68010","21",47.67,48.27,8.57,7.47,6.57,25.94,7.79072070462837,0.488426966292135,0.988651685393258,0.706292134831461,0.858005153087746,0.903857200893919,15,54,89
"490","Round","3","Pan troglodytes","68010","21",44.205,44.205,8.24,7,5.66,24.74,7.50222017990028,0.498076923076923,0.982564102564103,0.711538461538462,0.854503041806184,0.906664032412841,20,78,78
"491","Round","4","Pan troglodytes","68010","21",47.99,48.335,8.54,7.465,8.015,25.755,7.81682156783628,0.49875,0.990681818181818,0.738409090909091,0.851763800065612,0.903563109504164,18,67,88
"492","Round","5","Pan troglodytes","68010","21",45.28,45.46,8.4,7.225,13.74,25.395,7.59290954364049,0.488363636363636,0.990818181818182,0.700090909090909,0.856278661432767,0.909217626562016,17.5,66,110
"493","Round","6","Pan troglodytes","68010","21",46.64,47.345,8.575,7.23,30.71,25.465,7.70609378652533,0.501428571428571,0.988333333333333,0.624047619047619,0.84825867389771,0.910728766550421,9,26,84
"494","Pyramidal","1","Pan troglodytes","68010","21",50.5,52.22,10.815,6.17,95.705,28.315,8.01700411894581,0.801730769230769,0.99375,0.743846153846154,0.585757330114111,0.800590787649136,16,62,104
"495","Pyramidal","2","Pan troglodytes","68010","21",48.93,50.11,10.04,6.29,108.85,27.75,7.89301025742977,0.764631578947368,0.981052631578947,0.710105263157895,0.63600263977042,0.807001181978742,16,54,95
"496","Pyramidal","3","Pan troglodytes","68010","21",46.965,46.965,9.995,6.255,138.445,27.36,7.7328819501075,0.769891304347826,0.994239130434783,0.705217391304348,0.630262189873605,0.803378649032083,20,75,92
"497","Pyramidal","4","Pan troglodytes","68010","21",51.29,51.29,10.575,6.43,121.2,28.465,8.08087760114378,0.786170212765957,0.99468085106383,0.73563829787234,0.609480400637069,0.805550258834704,18,66,94
"498","Pyramidal","5","Pan troglodytes","68010","21",55.305,55.925,11.1,6.655,126.475,29.435,8.39145406747943,0.780373134328358,0.994253731343284,0.719626865671642,0.61764920616663,0.805281831857376,18,66,134
"499","Pyramidal","6","Pan troglodytes","68010","21",62.41,64.645,12.015,6.955,73.915,32.335,8.91414964705678,0.809521739130435,0.979739130434783,0.631391304347826,0.574760353603178,0.790131207786707,9,26,230
"500","Complex","1","Pan troglodytes","68010","21",61.8,62.09,10.17,8.425,183.85,31.33,8.87050908316696,0.514736842105263,0.986842105263158,0.818157894736842,0.842112596178392,0.81340976395005,17,63,38
"501","Complex","2","Pan troglodytes","68010","21",47.695,48.27,8.77,7.41,394.135,27.45,7.7925623758408,0.541944444444444,0.997222222222222,0.7625,0.827022292217376,0.807229268822685,16,53,36
"502","Complex","3","Pan troglodytes","68010","21",45.01,45.01,8.57,7.3,86.52,26.54,7.570238563515,0.553488372093023,0.980930232558139,0.675813953488372,0.822194571777231,0.819673692773321,21,79,43
"503","Complex","4","Pan troglodytes","68010","21",50.38,50.39,8.995,7.58,174.93,27.895,8.00910305925037,0.5184,0.9976,0.7208,0.84221628393709,0.818732406752532,19,65,50
"504","Complex","5","Pan troglodytes","68010","21",46.405,47.055,8.78,7.05,109.36,26.86,7.68633741733142,0.55575,0.99425,0.72525,0.820570363044206,0.822086808148934,18,66.5,40
"505","Complex","6","Pan troglodytes","68010","21",48.365,48.62,8.98,7.53,178.02,27.45,7.84727072481886,0.5216,0.9768,0.6414,0.839972320036425,0.81966140846314,10,25.5,50
"506","Microglia","1","Pan troglodytes","68010","21",20.66,20.67,6.03,4.7,0.63,16.84,5.12885260016589,0.581743119266055,0.99605504587156,0.75302752293578,0.775765617717564,0.894789407824386,16,63,109
"507","Microglia","2","Pan troglodytes","68010","21",22.51,22.57,6.02,5.09,3.38,17.85,5.35356163240777,0.524963503649635,0.989051094890511,0.710510948905109,0.825869299823172,0.886360918835505,16,53,137
"508","Microglia","3","Pan troglodytes","68010","21",21.23,21.49,6.07,4.915,2.59,17.58,5.19909431159781,0.536724137931034,0.992356321839081,0.696896551724138,0.813452316568952,0.887567703170496,20,76,174
"509","Microglia","4","Pan troglodytes","68010","21",21.5,21.595,6.07,4.97,1.5,17.57,5.23207386351748,0.530271739130435,0.986684782608696,0.708260869565217,0.819806795764947,0.893076931562407,18,65,184
"510","Microglia","5","Pan troglodytes","68010","21",21.67,22.13,6.02,4.9,1.62,17.54,5.25272319225095,0.533892215568862,0.991377245508982,0.709041916167665,0.819087113743868,0.895981753045545,18,66,167
"511","Microglia","6","Pan troglodytes","68010","21",21.27,21.44,6.06,4.96,3.98,17.57,5.20401817027159,0.538484848484848,0.982727272727273,0.664606060606061,0.818289364964756,0.88035163019478,10,26,165
"512","Ellipsoid","1","Hippopotamus amphibius","20061229","22",51.56,51.56,10.01,5.81,4.46,26.26,8.10235959005431,0.814042553191489,0.968297872340426,0.563191489361702,0.570445290003271,0.902628037180443,24,88,47
"513","Ellipsoid","2","Hippopotamus amphibius","20061229","22",54.64,55.76,11.15,5.82,0.71,28.17,8.34085179848733,0.824468085106383,0.967872340425532,0.69063829787234,0.550295643821387,0.899127124504806,30,114,47
"514","Ellipsoid","3","Hippopotamus amphibius","20061229","22",46.645,46.645,9.445,5.945,2.29,25.515,7.70649071087781,0.800277777777778,0.980972222222222,0.621111111111111,0.588279184197399,0.895231569746897,23.5,93,72
"515","Ellipsoid","4","Hippopotamus amphibius","20061229","22",59.6,59.6,11.5,6.07,0.64,29.23,8.71120409967621,0.829344262295082,0.987049180327869,0.670163934426229,0.541618255550695,0.897430197797743,30,129,61
"516","Ellipsoid","5","Hippopotamus amphibius","20061229","22",47.415,47.415,10.13,6.055,0.62,26,7.76983154713054,0.8025,0.995,0.792777777777778,0.584986396690191,0.894073332120992,39.5,143.5,36
"517","Ellipsoid","6","Hippopotamus amphibius","20061229","22",41.05,44.645,9.325,5.495,1.04,24.585,7.22740950032204,0.793333333333333,0.971190476190476,0.656666666666667,0.595125182838386,0.903186596040617,37,166,42
"518","Round","1","Hippopotamus amphibius","20061229","22",58.36,58.62,9.14,7.81,28.52,28.09,8.62010787813842,0.462352941176471,0.992941176470588,0.52,0.870506441712521,0.919981239714521,23,83,17
"519","Round","2","Hippopotamus amphibius","20061229","22",40.11,45.48,8.09,7.07,3.61,24.61,7.14630241029075,0.534285714285714,0.982857142857143,0.794285714285714,0.836238378230753,0.906043245163102,34,110,7
"520","Round","3","Hippopotamus amphibius","20061229","22",72.66,72.66,10.24,8.98,270.02,31.54,9.61839827208548,0.52,0.979090909090909,0.551818181818182,0.849172293419672,0.909058824588731,26,95,11
"521","Round","4","Hippopotamus amphibius","20061229","22",58,58.45,9.14,7.32,16.64,28.01,8.59347971398312,0.561111111111111,0.992222222222222,0.777777777777778,0.821170024744115,0.90813674909314,34,129,9
"522","Round","5","Hippopotamus amphibius","20061229","22",49.6,63.06,9.14,8.52,1.61,29.75,7.94686613822481,0.524615384615385,0.935384615384615,0.817692307692308,0.835855875162753,0.905640799510087,41,153,13
"523","Round","6","Hippopotamus amphibius","20061229","22",43.12,47.27,8.47,7.27,72.2,26.35,7.40959439976172,0.545454545454545,0.963636363636364,0.539090909090909,0.830939929922328,0.895059214546341,36,172,11
"524","Pyramidal","1","Hippopotamus amphibius","20061229","22",47.74,48.075,11.18,5.415,62.66,28.065,7.796433491535,0.870136363636364,0.981818181818182,0.655227272727273,0.475505050817646,0.748272956653029,23,88,220
"525","Pyramidal","2","Hippopotamus amphibius","20061229","22",50.45,50.45,11.92,5.81,67.7,29.05,8.01466998895706,0.868258064516129,0.987612903225806,0.714387096774194,0.479991479247622,0.759501546064304,28,112,155
"526","Pyramidal","3","Hippopotamus amphibius","20061229","22",52.61,57.46,11.37,5.57,34.36,29.15,8.18444454123289,0.861655629139073,0.976887417218543,0.677549668874172,0.490409625060489,0.778533458572706,24,96,151
"527","Pyramidal","4","Hippopotamus amphibius","20061229","22",46.38,48.22,10.97,5.59,67.79,28.43,7.68458522529465,0.863761467889908,0.962568807339449,0.661559633027523,0.486744600082555,0.763122723298128,29,129,109
"528","Pyramidal","5","Hippopotamus amphibius","20061229","22",71.685,72.76,12.89,6.585,36.3,34.05,9.55353504682909,0.840116279069767,0.978255813953488,0.769767441860465,0.52507736430625,0.774204759215994,41,145,86
"529","Pyramidal","6","Hippopotamus amphibius","20061229","22",46.25,46.83,10.91,5.31,49.67,27.94,7.67380798196054,0.870676691729323,0.971278195488722,0.682481203007519,0.477563008663544,0.76523676354355,40,163,133
"530","Complex","1","Hippopotamus amphibius","20061229","22",41.86,41.86,8.27,6.51,255.56,25.66,7.30053472990944,0.591428571428571,0.988571428571429,0.698571428571429,0.799848153899066,0.818649977553879,23,83,7
"531","Complex","2","Hippopotamus amphibius","20061229","22",48.08,48.085,8.21,7.915,211.26,27.165,7.82404213247117,0.3925,1,0.71125,0.909837824254126,0.811577928167957,31,108.5,8
"532","Complex","3","Hippopotamus amphibius","20061229","22",46.095,53.675,9.125,7.76,86.875,29.12,7.66093133474245,0.558333333333333,0.94,0.581666666666667,0.821392524486453,0.793929908652708,26.5,100.5,6
"533","Complex","4","Hippopotamus amphibius","20061229","22",67.54,67.54,10.03,8.57,47.94,32.035,9.27221696587224,0.551666666666667,0.995,0.681666666666667,0.830372013499711,0.813367063057642,27,136.5,6
"534","Complex","5","Hippopotamus amphibius","20061229","22",80.88,80.89,10.88,8.95,139.81,36.09,10.1478871878919,0.548181818181818,0.995454545454545,0.728181818181818,0.826638034160129,0.802947257818272,42,145,11
